"name","latitude","longitude","rating","rating_count"
"綠合農場","24.8427913","121.2753106","4.7","100"
"鳶山彩壁","24.9231658","121.3408345","4.5","181"
"Saw Seen Woo Ying Cheng (SSWYC)","24.8803025","121.2426257","4.4","8820"
"Daxi Bridge","24.8848382","121.2834562","4.4","2483"
"Daxi Puding Park","24.9094532","121.282686","4.4","6028"
"Zhongzhuang Suspension Bridge","24.9048105","121.3033687","4.4","1271"
"Old Baiji Tunnel","24.8354082","121.3021849","4.3","2510"
"Daxi Riverside Park","24.8932601","121.283638","4.3","4881"
"桃園花彩節","24.8912772","121.2948493","4.2","1019"
"Daxi Zhongzheng Park","24.8838835","121.2848253","4.2","2607"
