name,latitude,longitude,rating,rating_count,address
Rain Day Treasur Cave,22.6524032,120.2617335,4.6,269,"804, Taiwan, Kaohsiung City, Gushan District, 萬壽路301號"
Glory Pier,22.6166852,120.2924348,4.6,9279,"No. 31號, Haibian Rd, Lingya District, Kaohsiung City, Taiwan 802"
Yazuo Pavilion,22.6528099,120.2598603,4.6,1471,"Gushan District, Kaohsiung City, Taiwan 804"
斜光橋,22.6367906,120.284887,4.6,141,"807, Taiwan, Kaohsiung City, Sanmin District, 同盟三路"
Lotus Pond,22.6833323,120.2966989,4.4,2251,"Lotus Pond, Zuoying District, Kaohsiung City, Taiwan 813"
Kaohsiung Lighthouse,22.6154591,120.2649589,4.5,3596,"80541, Taiwan, Kaohsiung City, Qijin District, 旗下巷34號"
Shoushan LOVE Lookout,22.6254253,120.2741481,4.5,7550,"No. 30號, Zhongyi Rd, Gushan District, Kaohsiung City, Taiwan 804"
Dome of Light,22.6313189,120.3019731,4.4,3142,"800, Taiwan, Kaohsiung City, Xinxing District, Zhongshan 1st Rd, 115號B1"
中寮山觀景台,22.8200685,120.4209347,4.4,387,"RCCC+29, Tianliao District, Kaohsiung City, Taiwan 823"
椅子樂譜,22.6180516,120.2864052,4.4,452,"No. 13-24, Gongyuan 2nd Rd, Yancheng District, Kaohsiung City, Taiwan 803"
,,,,,
"[0, '5.8 km', '1 m', '6.2 km', '5.0 km', '31.8 km', '4.4 km', '5.5 km', '34.1 km', '5.1 km']",,,,,
"['5.4 km', 0, '5.4 km', '6.5 km', '8.7 km', '16.0 km', '3.7 km', '2.4 km', '36.4 km', '1.3 km']",,,,,
"['1 m', '5.8 km', 0, '6.2 km', '5.0 km', '31.8 km', '4.4 km', '5.5 km', '34.1 km', '5.1 km']",,,,,
"['6.3 km', '7.6 km', '6.3 km', 0, '6.3 km', '21.9 km', '7.9 km', '4.5 km', '30.6 km', '7.1 km']",,,,,
"['5.0 km', '9.4 km', '5.0 km', '11.3 km', 0, '27.7 km', '8.5 km', '6.5 km', '29.9 km', '8.9 km']",,,,,
"['32.0 km', '16.5 km', '32.0 km', '21.5 km', '27.4 km', 0, '19.9 km', '21.2 km', '48.5 km', '17.5 km']",,,,,
"['4.7 km', '4.1 km', '4.7 km', '9.2 km', '9.2 km', '19.6 km', 0, '4.3 km', '38.3 km', '3.4 km']",,,,,
"['5.5 km', '3.2 km', '5.5 km', '4.5 km', '6.4 km', '17.7 km', '4.3 km', 0, '35.0 km', '2.8 km']",,,,,
"['33.0 km', '37.1 km', '33.0 km', '32.5 km', '28.4 km', '48.9 km', '36.5 km', '34.8 km', 0, '36.6 km']",,,,,
"['5.1 km', '1.6 km', '5.1 km', '6.9 km', '9.1 km', '17.1 km', '3.4 km', '2.8 km', '36.8 km', 0]",,,,,
