name,latitude,longitude,rating,rating_count,address
都瓦哩印度廚房酒館旗艦店 Doon Valley Indian Restaurant and Bar Qinghai Road,22.6516083,120.2872098,5,677,"青海路266號, No, No. 266青海路鼓山區高雄市 Taiwan 804"
Madker Live House & Restaurant,22.623552,120.280327,4.8,865,"No. 43號, Qixian 3rd Rd, Yancheng District, Kaohsiung City, Taiwan 803"
藏粵閣 Yue Restaurant - 高雄六合館,22.6290817,120.2907936,4.8,119,"801, Taiwan, Kaohsiung City, Qianjin District, Liuhe 2nd Rd, 279號一樓"
Kong Xiao Meng Izakaya Restaurant,22.621145,120.3031787,4.8,243,"No. 167號, Minxiang St, Xinxing District, Kaohsiung City, Taiwan 800"
ZhanLu,22.6112875,120.303525,4.7,754,"806, Taiwan, Kaohsiung City, Cianjhen District, Singuang Rd, 33號2樓"
夏夫小農 Shafarm vegetarian restaurant,22.6703981,120.292597,4.7,401,"No. 101號, Yuxing Rd, Gushan District, Kaohsiung City, Taiwan 804"
Feng Heyang Izakaya Restaurant,22.6153133,120.303002,4.7,167,"No. 27號, Renyi St, Lingya District, Kaohsiung City, Taiwan 802"
Pooja's Indian Restaurant,22.6234817,120.2808593,4.6,494,"No. 72號, Qixian 3rd Rd, Yancheng District, Kaohsiung City, Taiwan 803"
獅子山創作餐廳Lion Rock Restaurant,22.7284562,120.2903893,4.6,419,"811, Taiwan, Kaohsiung City, Nanzih District, Daxue E Rd, 206號2樓"
GIRAR bar & restaurant,22.6142277,120.3036425,4.6,443,"No. 2-3號, Renyi St, Lingya District, Kaohsiung City, Taiwan 80245"
,,,,,
"[0, '3.9 km', '3.8 km', '5.8 km', '6.5 km', '3.8 km', '6.2 km', '3.9 km', '11.1 km', '6.3 km']",,,,,
"['3.9 km', 0, '1.6 km', '2.9 km', '3.5 km', '6.1 km', '3.2 km', '16 m', '14.5 km', '3.3 km']",,,,,
"['3.8 km', '1.6 km', 0, '2.2 km', '2.9 km', '5.5 km', '2.6 km', '1.6 km', '12.9 km', '2.7 km']",,,,,
"['6.2 km', '2.8 km', '2.2 km', 0, '1.5 km', '6.7 km', '0.9 km', '2.7 km', '14.1 km', '1.0 km']",,,,,
"['7.3 km', '3.9 km', '3.3 km', '1.4 km', 0, '7.8 km', '0.7 km', '3.8 km', '15.2 km', '0.6 km']",,,,,
"['3.8 km', '6.1 km', '5.5 km', '6.7 km', '7.4 km', 0, '7.1 km', '6.0 km', '7.7 km', '7.2 km']",,,,,
"['6.6 km', '3.2 km', '2.6 km', '0.9 km', '0.7 km', '7.1 km', 0, '3.2 km', '14.5 km', '0.1 km']",,,,,
"['3.9 km', '16 m', '1.6 km', '2.9 km', '3.4 km', '6.0 km', '3.1 km', 0, '14.5 km', '3.2 km']",,,,,
"['10.0 km', '13.4 km', '12.9 km', '19.7 km', '14.8 km', '7.8 km', '14.5 km', '13.4 km', 0, '14.6 km']",,,,,
"['6.9 km', '3.4 km', '2.8 km', '1.0 km', '0.5 km', '7.3 km', '0.1 km', '3.4 km', '14.8 km', 0]",,,,,
