name,latitude,longitude,rating,rating_count,address
Taiwan's door deer Germain,23.0370761,120.1214125,4.5,128,"709, Taiwan, Tainan City, Annan District, 709台灣台南市安南區媽祖宮一街顯宮一街"
七股海堤,23.0674832,120.0462302,4.5,136,"Qigu District, Tainan City, Taiwan 724"
虱目魚小子,23.2700218,120.1261385,4.4,207,"727, Taiwan, 台南市北門區永隆里"
Westernmost Point of Taiwan,23.1007127,120.0360012,4.4,1989,"724, Taiwan, Tainan City, Qigu District, 西堤堤坊"
鹽水車站倉庫群樹屋,23.322935,120.2627447,4.4,121,"737, Taiwan, Tainan City, Yanshui District, Wenwu St, 交界號與, 治水路"
花旗木步道,23.1561698,120.2018333,4.4,2952,"723, Taiwan, Tainan City, Xigang District, 南45-1鄉道"
Jingzaijiao Tile-paved Salt Fields,23.2588308,120.107568,4.4,19528,"727, Taiwan, Tainan City, Beimen District, 西南郊復育鹽田"
蜀葵花文化節,23.2424739,120.1657765,4.4,1444,"726, Taiwan, Tainan City, Xuejia District, 58"
七股鹽田海堤觀夕步道,23.1486308,120.0765756,4.4,110,"Qigu District, Tainan City, Taiwan 724"
麻豆區農會柚兒園（整修中）,23.1761324,120.246912,4.3,104,"No. 58號, Xingguo Rd, Madou District, Tainan City, Taiwan 721"
,,,,,
,,,,,
,,,,,
"[0, '11.9 km', '34.0 km', '11.9 km', '43.6 km', '12.4 km', '34.0 km', '26.2 km', '11.9 km', '22.7 km']",,,,,
"['12.0 km', 0, '23.5 km', '1 m', '40.7 km', '11.5 km', '23.5 km', '23.6 km', '1 m', '20.3 km']",,,,,
"['34.6 km', '23.4 km', 0, '23.4 km', '18.7 km', '24.8 km', '1 m', '9.6 km', '23.4 km', '22.9 km']",,,,,
"['12.0 km', '1 m', '23.5 km', 0, '40.7 km', '11.5 km', '23.5 km', '23.6 km', '1 m', '20.3 km']",,,,,
"['45.0 km', '40.7 km', '18.6 km', '40.7 km', 0, '28.5 km', '18.6 km', '14.1 km', '40.7 km', '21.3 km']",,,,,
"['12.6 km', '11.7 km', '30.7 km', '11.7 km', '29.3 km', 0, '30.7 km', '15.2 km', '11.7 km', '8.8 km']",,,,,
"['34.6 km', '23.4 km', '1 m', '23.4 km', '18.7 km', '24.8 km', 0, '9.6 km', '23.4 km', '22.9 km']",,,,,
"['26.4 km', '22.2 km', '9.6 km', '22.2 km', '14.2 km', '15.0 km', '9.6 km', 0, '22.2 km', '14.5 km']",,,,,
"['12.0 km', '1 m', '23.5 km', '1 m', '40.7 km', '11.5 km', '23.5 km', '23.6 km', 0, '20.3 km']",,,,,
"['22.8 km', '20.5 km', '22.8 km', '20.5 km', '21.3 km', '8.8 km', '22.8 km', '14.5 km', '20.5 km', 0]",,,,,
